Unnamed: 0,Req_ID,Requirement,domain,Functional_Non_Functional
0,R-OBS-010,REDACTED,Orbital_Domain;Revisit_Domain,Functional_Requirement
1,R-OBS-020,REDACTED,System_Components_Domain;Payload_Domain,Functional_Requirement
2,R-OBS-030,REDACTED,Orbital_Domain;Revisit_Domain,Functional_Requirement
3,R-OBS-040,REDACTED,System_Domain;Payload_Domain,Non_Functional_Requirement
4,R-SYS-010,REDACTED,System_Components_Domain;Lifetime_Domain,Non_Functional_Requirement
5,R-SYS-020,REDACTED,Orbital_Domain;Altitude_Domain,Non_Functional_Requirement
6,R-SYS-030,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
7,R-SYS-040,REDACTED,Operational_Domain;Safe_Domain,Non_Functional_Requirement
8,R-SYS-050,REDACTED,Operational_Domain;Safe_Domain,Functional_Requirement
9,R-SYS-060,REDACTED,Launcher_Domain;Spacecraft_Domain,Non_Functional_Requirement
10,R-SYS-070,REDACTED,Launcher_Domain;Spacecraft_Domain,Non_Functional_Requirement
11,R-SYS-080,REDACTED,AOCS_Domain,Functional_Requirement
12,R-SYS-090,REDACTED,AOCS_Domain,Functional_Requirement
13,R-SYS-100,REDACTED,OBDH_Domain,Functional_Requirement
14,R-SYS-110,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
15,R-PAY-010,REDACTED,Payload_Domain;Spacecraft_Domain,Non_Functional_Requirement
16,R-PAY-020,REDACTED,Payload_Domain;Payload_Unit_Domain,Non_Functional_Requirement
17,R-PAY-030,REDACTED,Payload_Domain;Payload_Unit_Domain,Non_Functional_Requirement
18,R-PAY-040,REDACTED,Payload_Domain;Payload_Unit_Domain,Non_Functional_Requirement
19,R-PAY-050,REDACTED,Payload_Domain,Functional_Requirement
20,R-PAY-060,REDACTED,Payload_Domain,Non_Functional_Requirement
21,R-PAY-070,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
22,R-PAY-080,REDACTED,Payload_Domain,Non_Functional_Requirement
23,R-PAY-090,REDACTED,Payload_Domain,Non_Functional_Requirement
24,R-THRM-010,REDACTED,Thermal_Domain;Thermal_Subsystem_Domain,Functional_Requirement
25,R-THRM-030,REDACTED,Thermal_Domain;Heat_Pipe_Domain,Non_Functional_Requirement
26,R-AOCS-010,REDACTED,AOCS_Domain,Non_Functional_Requirement
27,R-AOCS-020,REDACTED,AOCS_Domain;LEOP_Domain,Functional_Requirement
28,R-AOCS-030,REDACTED,AOCS_Domain,Functional_Requirement
29,R-AOCS-040,REDACTED,Pointing_Domain;AOCS_Domain,Functional_Requirement
30,R-AOCS-050,REDACTED,AOCS_Domain;Manoeuvre_Domain;Decommissioning_Domain;Decommissioning_Domain,Functional_Requirement
31,R-AOCS-060,REDACTED,AOCS_Domain;Pointing_Knowledge_Domain,Non_Functional_Requirement
32,R-PROP-010,REDACTED,Propulsion_Domain;LEOP_Domain;Propulsion_Subsystem_Domain;Propulsion_Subsystem_Domain;Propulsion_Subsystem_Domain,Functional_Requirement
33,R-PROP-020,REDACTED,Propulsion_Domain;Decommissioning_Domain;Propulsion_Subsystem_Domain;Propulsion_Subsystem_Domain;Propulsion_Subsystem_Domain,Functional_Requirement
34,R-PWR-010,REDACTED,Power_Domain;Power_Subsystem_Domain,Functional_Requirement
35,R-TTC-010,REDACTED,Comms_Domain;Communications_Domain,Non_Functional_Requirement
36,R-TTC-020,REDACTED,Comms_Domain;Communications_Domain;Transmitter_Domain;Reciever_Domain;Transmitter_Domain;Reciever_Domain;Transmitter_Domain;Antenna_Domain,Functional_Requirement
37,R-TTC-030,REDACTED,Comms_Domain;Ground_Station_Domain,Functional_Requirement
38,R-TTC-040,REDACTED,Comms_Domain;Reciever_Domain;Transmitter_Domain,Functional_Requirement
39,R-TTC-050,REDACTED,Comms_Domain;Data_Transfer_Rate_Domain;Transmitter_Domain;Transmitter_Domain;Reciever_Domain,Non_Functional_Requirement
40,R-TTC-060,REDACTED,Comms_Domain;Communications_Domain,Non_Functional_Requirement
41,R-TTC-070,REDACTED,Ground_Segment_Domain;Ground_Station_Domain,Functional_Requirement
42,R-TTC-080,REDACTED,Ground_Segment_Domain;Ground_Station_Domain,Functional_Requirement
43,R-TTC-090,REDACTED,Ground_Segment_Domain;Ground_Station_Domain,Functional_Requirement
44,R-TTC-100,REDACTED,Ground_Segment_Domain;Ground_Station_Domain,Non_Functional_Requirement
45,R-TTC-110,REDACTED,Comms_Domain;Latency_Domain;Communications_Domain;Ground_Station_Domain;Ground_Station_Domain;Ground_Station_Domain,Non_Functional_Requirement
46,R-CDH-010,REDACTED,OBDH_Domain,Functional_Requirement
47,R-CDH-020,REDACTED,OBDH_Domain,Functional_Requirement
48,R-CDH-030,REDACTED,OBDH_Domain,Functional_Requirement
49,R-CDH-040,REDACTED,OBDH_Domain;Solid_State_Recorder_Domain,Non_Functional_Requirement
50,R-CDH-050,REDACTED,OBDH_Domain;Onboard_Computer_Domain;Data_storage_Domain;Solid_State_Recorder_Domain;Solid_State_Recorder_Domain,Non_Functional_Requirement
51,R-CDH-060,REDACTED,OBDH_Domain;Onboard_Computer_Domain,Non_Functional_Requirement
52,R-CDH-070,REDACTED,OBDH_Domain,Non_Functional_Requirement
53,R-CDH-080,REDACTED,OBDH_Domain;Onboard_Computer_Domain,Functional_Requirement
54,R-CDH-090,REDACTED,OBDH_Domain;Onboard_Computer_Domain,Functional_Requirement
55,R-CDH-100,REDACTED,OBDH_Domain;Data_Bus_Domain,Non_Functional_Requirement
