name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
SHIRE,Spacecraft,SHIRE_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Lifetime;Cost;Altitude;Inclination;Argument_of_Perigee;Eccentricity;LTAN;Period;Total_Wet_Mass;Svalbard;Troll;Geo_Location_accuracy;Availability;Number_of_Launchers;Revisit_Time;func-0;func-1;func-2;func-3;func-Idle;func-Nominal_Operations;func-Uncontrolled_Orbit_Decay,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
SHIRE_Payload,Payload,Payload_Mass;Payload_Operational_Power;Payload_Survival_Power;Science_Data_generation;Focal_Length;Single_Pixel_Size;Number_of_pixels_Per_Detector_Side;LST_Accuracy;Max_Observation_Latitude;Min_Observation_Latitude;Max_Observation_Local_Time;Min_Observation_Local_Time;Variation_of_Local_Time_of_Observation;SSD,NONE,NONE,NONE,NONE,Primary_Heat_Pipe,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,Three_Axis_stab_status,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Arrays;Batteries;Solar_Panel_Actuators;Power_Supply;Power_Harness;Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Main_Radiator;Cold_Radiator;Cold_Radiator_Heat_Pipe;Primary_Heat_Pipe;Cartridge_Heater;Patch_Heater;Thermostats,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,Patch_Antenna;X_Band_Transmitter;EDRS_Terminal;Parabolic_Antenna;S_Band_Transciever,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Tank;Drain_Valves;Filter;Latch_Valves;Main_Engines;RCS_Engines;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,RUAG_Computer;SSR;Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Arrays,Solar_Array,Array_Area;Fixed_Yaw,NONE,NONE,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Batteries,Battery,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Panel_Actuators,Solar_Array_Actuator,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Power_Supply,PCDU,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Harness,Harness,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Bus,Power_Bus,Bus_Voltage,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Patch_Antenna,Antenna,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,Patch,NONE,NONE,NONE,NONE,NONE
X_Band_Transmitter,Transmitter,Payload_Data_Downlink_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,X_Band,NONE,NONE,NONE,NONE,NONE
EDRS_Terminal,EDRS_Terminal,EDRS_Data_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Parabolic_Antenna,Antenna,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Parabolic,NONE,NONE,NONE,NONE,NONE
S_Band_Transciever,Transciever,TTC_Downlink_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1,S_Band,NONE,NONE,NONE,NONE,NONE
SSR,Solid_State_Recorder,Data_Storage,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
RUAG_Computer,Onboard_Computer,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Data_Bus,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Tank,Tank,Volume,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Drain_Valves,Valve,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Drain,NONE,NONE,NONE,NONE,NONE
Filter,Filter,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Latch_Valves,Valve,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Latch,NONE,NONE,NONE,NONE,NONE
Main_Engines,Thruster,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,NONE,NONE,NONE,NONE,NONE,NONE
RCS_Engines,Thruster,Thrust,NONE,NONE,NONE,NONE,NONE,NONE,8,NONE,NONE,NONE,NONE,NONE,NONE
Main_Radiator,Radiator,Main_Radiator_Area,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
