Req_ID,Requirement,domain,Functional_Non_Functional
MIS_001,REDACTED,System_Components_Domain;Lifetime_Domain,Non_Functional_Requirement
MIS_002,REDACTED,System_Domain;Payload_Domain,Non_Functional_Requirement
MIS_003,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
MIS_004,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
MIS_005,REDACTED,Formation_Domain;Period_Domain;Altitude_Domain;Inclination_Domain;LTDN_Domain;True_Anomaly_Domain;True_Anomaly_Domain;AOP_Domain;RAAN_Domain;SMA_Domain;Inclination_Domain;Eccentricity_Domain;Inclination_Domain;True_Anomaly_Domain;LTDN_Domain,Non_Functional_Requirement
MIS_006,REDACTED,Formation_Domain,Non_Functional_Requirement
MIS_007,REDACTED,Formation_Domain;Along_Track_Distance_Domain,Non_Functional_Requirement
MIS_008,REDACTED,Formation_Domain;Along_Track_Distance_Domain,Non_Functional_Requirement
MIS_009,REDACTED,Formation_Domain;Formation_Distance_Accuracy_Domain;Formation_Distance_Accuracy_Domain;Formation_Distance_Accuracy_Domain,Functional_Requirement
MIS_010,REDACTED,Payload_Domain;Payload_Actuator_Domain,Non_Functional_Requirement
MIS_011,REDACTED,Payload_Domain;Payload_Actuator_Domain,Non_Functional_Requirement
MIS_012,REDACTED,Formation_Domain;Payload_Domain,Non_Functional_Requirement
MIS_013,REDACTED,Payload_Domain;AOCS_Domain,Functional_Requirement
MIS_014,REDACTED,Payload_Domain;AOCS_Domain,Functional_Requirement
MIS_015,REDACTED,AOCS_Domain,Functional_Requirement
MIS_016,REDACTED,System_Domain;Spacecraft_Domain,Non_Functional_Requirement
MIS_017,REDACTED,Operational_Domain;Payload_Domain,Functional_Requirement
MIS_018,REDACTED,Operational_Domain;Payload_Domain,Functional_Requirement
MIS_019,REDACTED,Operational_Domain;Communications_Domain;Ground_Station_Domain;Ground_Station_Domain;Ground_Station_Domain;Ground_Station_Domain,Functional_Requirement
MIS_020,REDACTED,Launcher_Domain;Number_of_Launchers_Domain,Non_Functional_Requirement
MIS_021,REDACTED,Launcher_Domain;Spacecraft_Domain,Non_Functional_Requirement
MIS_022,REDACTED,End_Of_Life_Domain;Decommissioning_Domain,Functional_Requirement
MIS_023,REDACTED,End_Of_Life_Domain;Decommissioning_Domain,Functional_Requirement
MIS_024,REDACTED,AOCS_Domain;GNSS_Receiver_Domain,Functional_Requirement
