name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
AEOLUS,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;LEOP;Nominal;Orbital_Maintenance_and_Control;Deorbit;Safe;Svalbard;McMurdo;Lifetime;LTAN;Altitude;Repeat_Cycle;Off_Nadir_Slew_Pointing_Angle;Downlink_Duration;func-0;func-1;func-2;func-3;func-3;func-3;func-4;func-LEOP;func-Safe,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,DES_010_R;DES_012_G;PAY_014_R,NONE,NONE,NONE,NONE
Payload,Payload,Main_Payload;Electronics_Units;Payload_Power,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,PAY_013_R,NONE,NONE,NONE,NONE
AOCS,AOCS,IO_remote_data_processing_and_power_distribution_board;GPS;IMU;Star_Trackers;Magnetometers;Sun_Trackers;Reaction_Wheels;Magnetorquers,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array;Array_Pionting_Mechanism;Battery;PCDU;Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Heat_Pipes;Platform_Radiator;LCS_Radiator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,X_Band_Transmitter;X_Band_Antenna;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,OPS_009_R,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Oxidizer_Tank;Propellant_Tank;Pressurant_Tank1;Pressurant_Tank2;Thrusters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,Data_Storage;Computer,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Data_Storage,Solid_State_Recorder,NONE,Power_Bus,Computer,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Computer,Onboard_Computer,NONE,Power_Bus,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
MIL_STD_1553B,Data_Bus,NONE,NONE,Computer,NONE,NONE,NONE,NONE,1,NONE,PAY_017_R,NONE,NONE,NONE,NONE
X_Band_Transmitter,Transmitter,NONE,Power_Bus,Computer,NONE,NONE,NONE,NONE,1,X_Band,DHS_019_R,NONE,NONE,NONE,NONE
X_Band_Antenna,Antenna,NONE,NONE,X_Band_Transmitter,NONE,NONE,NONE,NONE,1,X_Band,DHS_019_R,NONE,NONE,NONE,NONE
S_Band_Transciever,Transciever,NONE,Power_Bus,Computer,NONE,NONE,NONE,NONE,1,S_Band,NONE,NONE,NONE,NONE,NONE
S_Band_Antenna,Antenna,NONE,NONE,S_Band_Transciever,NONE,NONE,NONE,NONE,1,S_Band,NONE,NONE,NONE,NONE,NONE
Main_Payload,Payload_Unit,NONE,Power_Bus,MIL_STD_1553B,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Electronics_Units,Payload_Electronics,NONE,Power_Bus,Main_Payload,NONE,NONE,NONE,NONE,3,NONE,PAY_015_R;PAY_016_R,NONE,NONE,NONE,NONE
Oxidizer_Tank,Tank,NONE,NONE,NONE,NONE,Thrusters,NONE,NONE,1,Oxidizer,NONE,NONE,NONE,NONE,NONE
Propellant_Tank,Tank,NONE,NONE,NONE,NONE,Thrusters,NONE,NONE,1,Propellant,NONE,NONE,NONE,NONE,NONE
Pressurant_Tank1,Tank,NONE,NONE,NONE,NONE,Oxidizer_Tank,NONE,NONE,1,Pressurant,NONE,NONE,NONE,NONE,NONE
Pressurant_Tank2,Tank,NONE,NONE,NONE,NONE,Propellant_Tank,NONE,NONE,1,Pressurant,NONE,NONE,NONE,NONE,NONE
Thrusters,Thruster,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Array,Solar_Array,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Array_Pionting_Mechanism,Solar_Array_Actuator,NONE,PCDU,MIL_STD_1553B,Solar_Array,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Battery,Battery,NONE,PCDU,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
PCDU,PCDU,NONE,Solar_Array,MIL_STD_1553B,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Bus,Power_Bus,NONE,PCDU,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Heat_Pipes,Heat_Pipe,NONE,NONE,NONE,NONE,NONE,Platform_Radiator,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
